Player,Club,Goals,PKs,Assists,Matches,Mins
Mohamed Salah,Liverpool,23,5,13,35,"2,761"
Son Heung-min,Tottenham,23,0,7,35,"3,019"
Cristiano Ronaldo,Man United,18,3,3,30,"2,458"
Harry Kane,Tottenham,17,4,9,37,"3,232"
Sadio Mane,Liverpool,16,0,2,34,"2,824"
Kevin De Bruyne,Man City,15,0,8,30,"2,205"
Diogo Jota,Liverpool,15,0,4,35,"2,372"
Jamie Vardy,Leicester City,15,0,2,25,"1,805"
Wilfried Zaha,Crystal Palace,14,5,1,33,"2,761"
Raheem Sterling,Man City,13,2,5,30,"2,127"
Jarrod Bowen,West Ham,12,0,10,36,"2,987"
James Maddison,Leicester City,12,0,8,35,"2,466"
Ivan Toney,Brentford,12,5,5,33,"2,908"
Mason Mount,Chelsea,11,1,10,32,"2,364"
Bukayo Saka,Arsenal,11,2,7,38,"2,991"
Riyad Mahrez,Man City,11,4,5,28,"1,491"
Raphinha,Leeds United,11,4,3,35,"2,922"
Teemu Pukki,Norwich City,11,3,3,37,"3,260"
Ollie Watkins,Aston Villa,11,1,2,35,"2,955"
Michail Antonio,West Ham,10,0,8,36,"2,975"
Emmanuel Dennis,Watford,10,0,6,33,"2,589"
Bruno Fernandes,Man United,10,0,6,36,"3,118"
Richarlison,Everton,10,3,5,30,"2,526"
James Ward-Prowse,Southampton,10,4,5,36,"3,217"
Emile Smith Rowe,Arsenal,10,0,2,33,"1,920"
Phil Foden,Man City,9,0,5,28,"2,133"
Maxwel Cornet,Burnley,9,0,1,26,"1,776"
Gabriel Jesus,Man City,8,1,8,28,"1,878"
Said Benrahma,West Ham,8,0,6,32,"2,184"
Bernardo Silva,Man City,8,0,4,35,"2,859"
Ilkay Gundogan,Man City,8,0,4,27,"1,856"
Kai Havertz,Chelsea,8,0,3,29,"1,810"
Leandro Trossard,Brighton,8,0,3,34,"2,810"
Conor Gallagher,Crystal Palace,8,0,3,34,"2,851"
Neal Maupay,Brighton,8,1,2,32,"2,275"
Jack Harrison,Leeds United,8,0,1,35,"2,648"
Callum Wilson,Newcastle,8,2,0,18,"1,388"
Romelu Lukaku,Chelsea,8,1,0,26,"1,585"
Danny Ings,Aston Villa,7,1,6,30,"1,904"
Martin Odegaard,Arsenal,7,0,4,36,"2,791"
Che Adams,Southampton,7,0,3,30,"2,041"
Rodri,Man City,7,0,2,33,"2,887"
Yoane Wissa,Brentford,7,0,1,30,"1,273"