Club,League,Revenue 2023 ,Revenue 2022,Change on previous year
Real Madrid,La Liga,831.4,713.8,16
Manchester City,Premier League,825.9,731,13
Paris Saint-Germain,Ligue 1,801.8,654.2,23
FC Barcelona,La Liga,800.1,638.2,25
Manchester United,Premier League,745.8,688.6,8
Bayern Munich,Bundesliga,744,653.6,14
Liverpool,Premier League,682.9,701.7,-3
Tottenham Hotspur,Premier League,631.5,522.9,21
Chelsea,Premier League,589.4,568.3,4
Arsenal,Premier League,532.6,433.5,23
Juventus FC,Serie A,432.4,400.6,8
Borussia Dortmund,Bundesliga,420,356.9,18
AC Milan,Serie A,385.3,257.4,50
FC Internazionale Milano,Serie A,378.9,308.4,23
Atletico de Madrid,La Liga,364.1,393.9,-8
Eintracht Frankfurt,Bundesliga,293.5,208.3,41
Newcastle United,Premier League,287.8,212.3,36
West Ham United,Premier League,275.1,301.2,-9
SSC Napoli,Serie A,267.7,156.5,71
Olympique de Marseille,Ligue 1,258.4,237.5,9