Year,January,February,March,April,May,June,July,August,September,October,November,December
2010,6.2,5.7,5.1,4.8,4.6,4.1,3.7,3.5,3.2,3.4,3.6,3.5
2011,3.7,3.7,4.1,4.2,4.6,5,5.3,5.3,5.7,6,6.1,6.1
2012,6.3,6.1,6,6.1,5.7,5.5,4.9,5,5.5,5.6,5.6,5.7
2013,5.4,5.9,5.9,5.9,5.6,5.5,6.3,6.4,6,5.5,5.3,5.4
2014,5.8,5.9,6,6.1,6.6,6.6,6.3,6.4,5.9,5.9,5.8,5.3
2015,4.4,3.9,4,4.5,4.6,4.7,5,4.6,4.6,4.7,4.8,5.2
2016,6.2,7,6.3,6.2,6.1,6.3,6,5.9,6.1,6.4,6.6,6.8
2017,6.6,6.3,6.1,5.3,5.4,5.1,4.6,4.8,5.1,4.8,4.6,4.7
2018,4.4,4,3.8,4.5,4.4,4.6,5.1,4.9,4.9,5.1,5.2,4.5
2019,4,4.1,4.5,4.4,4.5,4.5,4,4.3,4.1,3.7,3.6,4
2020,4.5,4.6,4.1,3,2.1,2.2,3.2,3.1,3,3.3,3.2,3.1
2021,3.2,2.9,3.2,4.4,5.2,4.9,4.6,4.9,5,5,5.5,5.9
2022,5.7,5.7,5.9,5.9,6.5,,,,,,,