university,amount,students
Tshwane University of Technology,4400,11255
Central University of Technology,1780,12985
University of Kwazulu Natal,868,17840
University of Johannesburg,537.67,7722
Walter Sisulu University,526,20088
University of Limpopo,342.58,10345
University of Fort Hare,285.98,5922
University of the Witwatersrand,224.32,3426
Vaal University of Technology,118.87,3402
Durban University of Technology,99.13,5155
University of Zululand,83.23,5450
Mangosuthu University of Technology,74.68,3870
University of the Free State,64.97,4023
Nelson Mandela Metropolitan University,62.86,820
University of Venda,42.59,1405
University of Pretoria,34.87,1092
Stellenbosch University,18.83,568
North West University,18.75,766
Rhodes University,15.25,378
The University of Cape Town,14.08,325